,id,creatorID,header_text,comment_count,upvotes,downvotes,imgSrc,checksum
0,jsid-post-amA5b7d,catlicking,Climate change denier gets demolished.,1K,12K,868,https://img-9gag-fun.9cache.com/photo/amA5b7d_460s.jpg,52520435385a3e456993e72ef362c0b4838f518f73c5f964c4af5ed29ec044be
1,jsid-post-aWGxB3K,happysadddd,German police protect bucket-wheel-excavator from climate activists in the former village of Lützerath,301,1.5K,96,https://img-9gag-fun.9cache.com/photo/aWGxB3K_460s.jpg,487cddfbff8cbc65cbe89f97b03cf630549d9cd78eba253ac5e4bfadb136cfff
2,jsid-post-aDYgErK,opm741,No one will see this.,162,1K,238,https://img-9gag-fun.9cache.com/photo/aDYgErK_460s.jpg,da6e120bdb8e228b37044bbefcaa90e6661736454f7e82f9a85937b68ea7f72b
3,jsid-post-aGEZOwK,fukcommies,It must have been climate change!,794,6.2K,595,https://img-9gag-fun.9cache.com/photo/aGEZOwK_460s.jpg,1a1f8e36cf2c8a9cb2ee1a9a7b75de12d9e9edbf2d3a0d96fdead2e1d0c32135
4,jsid-post-amA5b7d,catlicking,Climate change denier gets demolished.,1K,12K,868,https://img-9gag-fun.9cache.com/photo/amA5b7d_460s.jpg,52520435385a3e456993e72ef362c0b4838f518f73c5f964c4af5ed29ec044be
5,jsid-post-aWGxB3K,happysadddd,German police protect bucket-wheel-excavator from climate activists in the former village of Lützerath,301,1.5K,96,https://img-9gag-fun.9cache.com/photo/aWGxB3K_460s.jpg,487cddfbff8cbc65cbe89f97b03cf630549d9cd78eba253ac5e4bfadb136cfff
6,jsid-post-aDYgErK,opm741,No one will see this.,162,1K,238,https://img-9gag-fun.9cache.com/photo/aDYgErK_460s.jpg,da6e120bdb8e228b37044bbefcaa90e6661736454f7e82f9a85937b68ea7f72b
7,jsid-post-aGEZOwK,fukcommies,It must have been climate change!,794,6.2K,595,https://img-9gag-fun.9cache.com/photo/aGEZOwK_460s.jpg,1a1f8e36cf2c8a9cb2ee1a9a7b75de12d9e9edbf2d3a0d96fdead2e1d0c32135
8,jsid-post-ago5LPK,andersonknight,Climate,20,399,85,https://img-9gag-fun.9cache.com/photo/ago5LPK_460s.jpg,da6521be6c16ff34503785f031092f641fb871ce3622ac22c9c043545e88c6ce
9,jsid-post-aMExQpM,palepenisperson,Climate Change is Bad,57,113,68,https://img-9gag-fun.9cache.com/photo/aMExQpM_460s.jpg,52a9a6b7ce58b06bf1d602b12d4a5649baf7a996742a55ad5797fdbc1cb3b6a0
